Sent_ID,Word_ID,Word,frequency,length,surprisal,role
0,0,with,6.85,4,11.090718126833906,function
0,1,his,6.51,3,13.807042383507659,function
0,2,interest,5.17,8,10.143949506250525,content
0,3,in,7.27,2,0.14722815602821943,function
0,4,race,5.08,4,10.887839136708896,content
0,5,cars,4.89,4,3.4489428321251783,content
0,6,he,6.69,2,6.159631561295457,function
0,7,formed,4.68,6,11.766981427250608,content
0,8,a,7.36,1,0.6625267021269874,function
0,9,second,5.63,6,13.243489633160406,content
0,10,company,5.6,7,4.728207575413439,content
0,11,the,7.73,3,6.351239496413522,function
0,12,Henry,4.74,5,10.279202166333864,content
0,13,Ford,4.5,4,0.4325267358915154,content
0,14,Company,5.6,7,2.613475879735378,content
1,0,during,5.72,6,13.536537063340978,function
1,1,this,6.82,4,4.0801219125141,function
1,2,period,5.21,6,8.622357080312945,content
1,3,he,6.69,2,9.957977098635931,function
1,4,personally,4.57,10,13.164592248111791,content
1,5,drove,4.36,5,9.208451940674086,content
1,6,his,6.51,3,3.0460026156268936,function
1,7,Quadricycle,1.21,11,22.15079307286768,content
1,8,to,7.43,2,3.632097475988035,function
1,9,victory,4.73,7,12.35307628761175,content
1,10,in,7.27,2,1.1799385710395576,function
1,11,a,7.36,1,3.392587557090453,function
1,12,race,5.08,4,1.8484530211389845,content
1,13,against,5.68,7,1.482143733413271,function
1,14,Alexander,4.4,9,8.323674122628903,content
1,15,Winton,2.81,6,0.28686155819433723,content
1,16,a,7.36,1,4.536599640295373,function
1,17,wellknown,1.57,9,7.565695673411849,content
1,18,driver,4.75,6,7.072587016858004,content
1,19,and,7.41,3,2.144318215071291,function
1,20,the,7.73,3,4.902908928021087,function
1,21,heavy,4.96,5,12.0149446374034,content
1,22,favorite,4.97,8,0.779816118293009,content
1,23,on,6.91,2,7.500887107121915,function
1,24,October,5.11,7,9.197180885667143,content
1,25,10,5.32,2,3.975248267879166,content
1,26,1901,3.74,4,2.1897546555680387,content
2,0,ford,4.5,4,25.58529486576521,content
2,1,was,6.82,3,8.002449054930969,function
2,2,forced,4.83,6,9.749462581007448,content
2,3,out,6.38,3,3.7673501360713755,function
2,4,of,7.4,2,0.7396629848307674,function
2,5,the,7.73,3,1.415926285247469,function
2,6,company,5.6,7,2.8698923811433774,content
2,7,by,6.66,2,2.4866765109072464,function
2,8,the,7.73,3,2.413414653362104,function
2,9,investors,4.34,9,9.86780865858037,content
2,10,including,5.52,9,13.018068533021506,content
2,11,Henry,4.74,5,8.075710912476112,content
2,12,M,5.39,1,9.608574393420636,function
2,13,Leland,3.19,6,6.760563708911835,content
2,14,in,7.27,2,4.900091164269351,function
2,15,1902,3.75,4,2.038652074381182,content
2,16,and,7.41,3,4.76483850418601,function
2,17,the,7.73,3,3.8208876473543643,function
2,18,company,5.6,7,1.6427562672622378,content
2,19,was,6.82,3,0.987626194983558,function
2,20,reorganized,3.0,11,4.285114225452912,content
2,21,as,6.77,2,0.6093414113129655,function
2,22,Cadillac,3.48,8,1.5920365197309851,content
3,0,in,7.27,2,8.825236070437956,function
3,1,1891,3.66,4,22.72808242150465,content
3,2,Ford,4.5,4,12.42070261765342,content
3,3,became,5.15,6,7.799570064805959,content
3,4,an,6.53,2,3.2516993695036405,function
3,5,engineer,4.5,8,2.5134452665487412,content
3,6,with,6.85,4,3.5503823271876835,function
3,7,the,7.73,3,0.32862169754624093,function
3,8,Edison,3.57,6,0.29692185533920806,content
3,9,Illuminating,3.21,12,0.26209605647009276,content
3,10,Company,5.6,7,0.045744633407093296,content
3,11,and,7.41,3,4.209739045093968,function
3,12,after,6.11,5,9.445144095819932,function
3,13,his,6.51,3,3.1897085669654426,function
3,14,promotion,4.41,9,1.5849921103516444,content
3,15,to,7.43,2,0.6301224189820204,function
3,16,Chief,5.11,5,2.383828133968873,content
3,17,Engineer,4.5,8,0.07013590088306026,content
3,18,in,7.27,2,0.4490810979329659,function
3,19,1893,3.68,4,0.5161350697125646,content
3,20,he,6.69,2,1.0566614069010962,function
3,21,had,6.33,3,6.018743373708644,function
3,22,enough,5.54,6,1.723062534186721,content
3,23,time,6.29,4,0.2106278404422852,content
3,24,and,7.41,3,0.29797851674610915,function
3,25,money,5.64,5,0.8199692517552507,content
3,26,to,7.43,2,0.0402852161381043,function
3,27,devote,3.53,6,0.19601069098015336,content
3,28,attention,5.11,9,10.453903518941512,content
3,29,to,7.43,2,0.07682808979343388,function
3,30,his,6.51,3,0.34094941396008704,function
3,31,personal,5.2,8,1.3687287424058867,content
3,32,experiments,4.2,11,0.2537748478907466,content
3,33,on,6.91,2,4.153383770059243,function
3,34,internal,4.66,8,5.956752571170447,content
3,35,combustion,3.57,10,0.23968602913206535,content
3,36,engines,4.35,7,0.13313933726953814,content
4,0,these,6.04,5,12.781376377875661,function
4,1,experiments,4.2,11,14.562203068972975,content
4,2,culminated,3.23,10,15.504745043928752,content
4,3,in,7.27,2,0.2106278404422852,function
4,4,1896,3.7,4,12.985664249876539,content
4,5,with,6.85,4,1.7399691166971385,function
4,6,the,7.73,3,0.9869217540456239,function
4,7,completion,4.22,10,7.979906944917079,content
4,8,of,7.4,2,0.08215542438656023,function
4,9,his,6.51,3,3.657457349753661,function
4,10,own,5.74,3,8.870320290465736,function
4,11,selfpropelled,0.0,13,19.449262075890545,content
4,12,vehicle,4.76,7,2.675466682273576,content
4,13,named,4.95,5,7.17402651192051,content
4,14,the,7.73,3,1.4349461905716887,function
4,15,Quadricycle,1.21,11,9.650708767020816,content
4,16,which,6.3,5,4.367533815191198,function
4,17,he,6.69,2,2.171086970712786,function
4,18,testdrove,0.0,9,9.186592257818821,content
4,19,on,6.91,2,1.2468604601432935,function
4,20,June,5.21,4,8.1602438250282,content
4,21,4,5.78,1,0.44362168066397695,content
4,22,of,7.4,2,2.396508070851686,function
4,23,that,7.01,4,0.05120405067608229,function
4,24,year,5.96,4,0.1623736361938018,content
5,0,ford,4.5,4,25.58529486576521,content
5,1,was,6.82,3,8.002449054930969,function
5,2,born,5.09,4,4.725389811661702,content
5,3,on,6.91,2,2.3697393152101918,function
5,4,a,7.36,1,5.139601083166932,function
5,5,prosperous,3.6,10,9.028115060562966,content
5,6,farm,4.75,4,1.514548016558238,content
5,7,in,7.27,2,0.757274008279119,function
5,8,Springwells,1.01,11,13.774395948790277,content
5,9,Township,3.98,8,2.3528327326997744,content
5,10,now,6.18,3,5.917303878646139,function
5,11,in,7.27,2,4.683123355385659,function
5,12,the,7.73,3,1.5230013078134468,function
5,13,city,5.61,4,0.9918528406111624,content
5,14,of,7.4,2,0.03616863940705211,function
5,15,Dearborn,3.04,8,1.0706511636528806,content
5,16,Michigan,4.54,8,0.4543644049674714,content
5,17,owned,4.76,5,16.489553475160573,content
5,18,by,6.66,2,0.05798429470369766,function
5,19,his,6.51,3,0.5145941051608339,function
5,20,parents,5.21,7,4.136477187548825,content
5,21,William,4.88,7,1.2595403970261068,content
5,22,Ford,4.5,4,4.793016141703372,content
5,23,18261905,0.0,8,15.992218172979126,content
5,24,and,7.41,3,0.461408814346812,function
5,25,Mary,4.78,4,0.5755282462921304,content
5,26,Litogot,0.0,7,0.6693839943821892,content
5,27,c18391876,0.0,9,29.03423769789039,content
5,28,immigrants,4.37,10,8.1602438250282,content
5,29,from,6.63,4,0.09932617224870305,function
